rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
264,1:22.41,,Japan,,JPN,1,Tokorozawa (JPN),22 SEP 2013,1129,4x200-metres-relay,relays,male,senior
264,1:22.41,,Houston University,,USA,3f4,"Franklin Field, Philadelphia, PA (USA)",25 APR 2025,1129,4x200-metres-relay,relays,male,senior
266,1:22.42,,Sparta Praha,,TCH,1,Praha (TCH),28 MAY 1988,1128,4x200-metres-relay,relays,male,senior
266,1:22.42,,St. Augustine's,,INT,3f1,"Gainesville, FL (USA)",06 APR 2013,1128,4x200-metres-relay,relays,male,senior
266,1:22.42,,Houston University,,INT,2f4,"Franklin Field, Philadelphia, PA (USA)",26 APR 2024,1128,4x200-metres-relay,relays,male,senior
269,1:22.43,,Mississippi State,,INT,5,"Philadelphia, PA (USA)",25 APR 2009,1128,4x200-metres-relay,relays,male,senior
269,1:22.43,,Germany,,GER,1f1,"Stadion Śląski, Chorzów (POL)",02 MAY 2021,1128,4x200-metres-relay,relays,male,senior
269,1:22.43,,Phanos,,NED,2,"Sportcomplex Nenijto, Rotterdam (NED)",04 SEP 2021,1128,4x200-metres-relay,relays,male,senior
272,1:22.44,,UTEP,,INT,1,"Des Moines, IA (USA)",27 APR 2001,1128,4x200-metres-relay,relays,male,senior
272,1:22.44,,Louisiana State,,INT,3f2,"Austin, TX (USA)",31 MAR 2012,1128,4x200-metres-relay,relays,male,senior
272,1:22.44,,GC Foster College C,,JAM,4f4,"Franklin Field, Philadelphia, PA (USA)",25 APR 2025,1128,4x200-metres-relay,relays,male,senior
275,1:22.45,,Mississippi State,,INT,1,"Mississippi State, MS (USA)",23 MAR 2018,1127,4x200-metres-relay,relays,male,senior
275,1:22.45,,Mississippi State,,INT,1,"Starkville, MS (USA)",23 MAR 2018,1127,4x200-metres-relay,relays,male,senior
277,1:22.47,,Sichuan,,CHN,2h2,"Shangyu Stadium, Shaoxing (CHN)",15 SEP 2023,1126,4x200-metres-relay,relays,male,senior
278,1:22.48,,Unattached,,INT,1,"Starkville, MS (USA)",01 APR 2011,1126,4x200-metres-relay,relays,male,senior
278,1:22.48,,South Carolina,,INT,1f2,"Gainesville, FL (USA)",01 APR 2017,1126,4x200-metres-relay,relays,male,senior
278,1:22.48,,Liaoning,,CHN,6,Xi'an (CHN),23 SEP 2021,1126,4x200-metres-relay,relays,male,senior
281,1:22.50,,Florida,,USA,2h2,"Philadelphia, PA (USA)",29 APR 2011,1125,4x200-metres-relay,relays,male,senior
281,1:22.50,,Georgia,,USA,1f3,"Des Moines, IA (USA)",25 APR 2014,1125,4x200-metres-relay,relays,male,senior
283,1:22.51,,Chuo University,,JPN,2,Itami (JPN),05 OCT 2014,1125,4x200-metres-relay,relays,male,senior
284,1:22.52,,Clemson,,INT,2,"Philadelphia, PA (USA)",29 APR 2000,1125,4x200-metres-relay,relays,male,senior
285,1:22.53,,Auburn,,INT,2,"Philadelphia, PA (USA)",30 APR 2016,1124,4x200-metres-relay,relays,male,senior
286,1:22.55,,Kenya,,KEN,4f1,"International Stadium, Yokohama (JPN)",12 MAY 2019,1124,4x200-metres-relay,relays,male,senior
286,1:22.55,,Jiangsu,,CHN,2h1,Xi'an (CHN),21 SEP 2021,1124,4x200-metres-relay,relays,male,senior
288,1:22.56,,Mississippi State,,USA,1f1,"Athens, GA (USA)",19 APR 2008,1123,4x200-metres-relay,relays,male,senior
288,1:22.56,,Kenya,,KEN,3h1,"International Stadium, Yokohama (JPN)",12 MAY 2019,1123,4x200-metres-relay,relays,male,senior
290,1:22.57,,Florida,,INT,2f1,"Gainesville, FL (USA)",26 MAR 2004,1123,4x200-metres-relay,relays,male,senior
290,1:22.57,,UNA - Nike G.W.,,INT,1f1,"Raleigh, NC (USA)",26 MAR 2005,1123,4x200-metres-relay,relays,male,senior
290,1:22.57,,Star Athletics,,USA,3f1,"Gainesville, FL (USA)",05 APR 2014,1123,4x200-metres-relay,relays,male,senior
290,1:22.57,,Mississippi State,,INT,1f3,"Gainesville, FL (USA)",02 APR 2016,1123,4x200-metres-relay,relays,male,senior
294,1:22.58,,Mississippi State,,USA,1h1,"Philadelphia, PA (USA)",29 APR 2011,1122,4x200-metres-relay,relays,male,senior
294,1:22.58,,United States Red,,USA,2,"Prairie View, TX (USA)",23 MAR 2019,1122,4x200-metres-relay,relays,male,senior
296,1:22.59,,Sichuan,,CHN,1,"Universiade Center, Shenzhen (CHN)",06 FEB 2021,1122,4x200-metres-relay,relays,male,senior
297,1:22.60,,World Express AC,,INT,2f1,"Gainesville, FL (USA)",03 APR 2010,1122,4x200-metres-relay,relays,male,senior
297,1:22.60,,Louisiana State,,INT,1f2,"Austin, TX (USA)",28 MAR 2015,1122,4x200-metres-relay,relays,male,senior
297,1:22.60,,Arizona Speedsters,,INT,2,"Austin, TX (USA)",01 APR 2017,1122,4x200-metres-relay,relays,male,senior
297,1:22.60,,Canada B,,CAN,5f1,"Gainesville, FL (USA)",01 APR 2017,1122,4x200-metres-relay,relays,male,senior
301,1:22.61,,UTech,,JAM,1h2,"Philadelphia, PA (USA)",27 APR 2012,1121,4x200-metres-relay,relays,male,senior
302,1:22.62,,Nebraska,,INT,2f1,"Des Moines, IA (USA)",27 APR 2007,1121,4x200-metres-relay,relays,male,senior
303,1:22.63,,Arkansas,,INT,2h3,"Philadelphia, PA (USA)",29 APR 2011,1121,4x200-metres-relay,relays,male,senior
304,1:22.65,,Germany,,GER,3,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1120,4x200-metres-relay,relays,male,senior
305,1:22.66,,Thailand,,THA,3,"Philadelphia, PA (USA)",29 APR 2000,1120,4x200-metres-relay,relays,male,senior
305,1:22.66,,Pittsburgh,,USA,5f1,"Philadelphia, PA (USA)",26 APR 2014,1120,4x200-metres-relay,relays,male,senior
305,1:22.66,,Arkansas,,INT,1f3,"Des Moines, IA (USA)",24 APR 2015,1120,4x200-metres-relay,relays,male,senior
305,1:22.66,,United States,,USA,4f2,"Austin, TX (USA)",31 MAR 2018,1120,4x200-metres-relay,relays,male,senior
309,1:22.67,,Japan,,JPN,5f1,"International Stadium, Yokohama (JPN)",12 MAY 2019,1119,4x200-metres-relay,relays,male,senior
309,1:22.67,,Hubei,,CHN,2h1,Chongqing (CHN),25 JUN 2021,1119,4x200-metres-relay,relays,male,senior
311,1:22.68,,South Carolina State,,USA,1f1,"Orangeburg, SC (USA)",23 MAR 2013,1119,4x200-metres-relay,relays,male,senior
311,1:22.68,,Guangdong,,CHN,5,"Shangyu Stadium, Shaoxing (CHN)",17 SEP 2023,1119,4x200-metres-relay,relays,male,senior
313,1:22.69,,South Carolina,,INT,3f1,"Gainesville, FL (USA)",03 APR 2010,1118,4x200-metres-relay,relays,male,senior
