rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
143,2:59.13,,Great Britain & NI,,GBR,2,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1211,4x400-metres-relay,relays,male,senior
143,2:59.13,,Cuba,,CUB,1h2,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1211,4x400-metres-relay,relays,male,senior
143,2:59.13,,Great Britain & NI,,GBR,1,"Olympiastadion, Helsinki (FIN)",14 AUG 1994,1211,4x400-metres-relay,relays,male,senior
143,2:59.13,,Jamaica,,JAM,2h1,"DS, Daegu (KOR)",01 SEP 2011,1211,4x400-metres-relay,relays,male,senior
143,2:59.13,,Jamaica,,JAM,4h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1211,4x400-metres-relay,relays,male,senior
148,2:59.14,,United States,,USA,2h2,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1211,4x400-metres-relay,relays,male,senior
148,2:59.14,,Arizona State,,INT,2sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1211,4x400-metres-relay,relays,male,senior
150,2:59.15,,Alabama,,INT,2,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1210,4x400-metres-relay,relays,male,senior
150,2:59.15,,United States,,USA,3h1,"Stade de France, Paris (FRA)",09 AUG 2024,1210,4x400-metres-relay,relays,male,senior
152,2:59.16,,Cuba,,CUB,3,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1210,4x400-metres-relay,relays,male,senior
153,2:59.18,,United States Red,,USA,1,"Philadelphia, PA (USA)",28 APR 2007,1210,4x400-metres-relay,relays,male,senior
153,2:59.18,,Bahamas,,BAH,2,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1210,4x400-metres-relay,relays,male,senior
155,2:59.19,,Americas,,INT,1,"CM, Madrid (ESP)",21 SEP 2002,1210,4x400-metres-relay,relays,male,senior
156,2:59.21,,South Africa,,RSA,3h1,"DS, Daegu (KOR)",01 SEP 2011,1209,4x400-metres-relay,relays,male,senior
156,2:59.21,,North Carolina A&T,,INT,1h1,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2021,1209,4x400-metres-relay,relays,male,senior
158,2:59.23,,Bahamas,,BAH,3,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1209,4x400-metres-relay,relays,male,senior
158,2:59.23,,United States,,USA,1h2,"Olympic Stadium, London (GBR)",12 AUG 2017,1209,4x400-metres-relay,relays,male,senior
160,2:59.24,,Alabama,,INT,1sf1,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1209,4x400-metres-relay,relays,male,senior
161,2:59.25,,Belgium,,BEL,1h2,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1209,4x400-metres-relay,relays,male,senior
161,2:59.25,,UCLA,,INT,3,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1209,4x400-metres-relay,relays,male,senior
163,2:59.28,,Belgium,,BEL,2h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1208,4x400-metres-relay,relays,male,senior
164,2:59.29,,United States,,USA,1,"Durham, NC (USA)",13 JUL 1996,1208,4x400-metres-relay,relays,male,senior
164,2:59.29,,Jamaica,,JAM,2h2,"National Stadium, Tokyo (JPN)",06 AUG 2021,1208,4x400-metres-relay,relays,male,senior
164,2:59.29,,Kenya,,KEN,5f1,"Tianhe Sports Center, Guangzhou (CHN)",11 MAY 2025,1208,4x400-metres-relay,relays,male,senior
167,2:59.30,,United States,,USA,1h2,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1208,4x400-metres-relay,relays,male,senior
167,2:59.30,,United States U20,,USA,1,San José (CRC),21 JUL 2019,1208,4x400-metres-relay,relays,male,senior
169,2:59.31,,United States,,USA,1,"DS, Daegu (KOR)",02 SEP 2011,1208,4x400-metres-relay,relays,male,senior
170,2:59.32,,Nigeria,,NGR,3,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1208,4x400-metres-relay,relays,male,senior
170,2:59.32,,Botswana,,BOT,2,"University of Ghana Sports Stadium, Accra (GHA)",22 MAR 2024,1208,4x400-metres-relay,relays,male,senior
