rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
175,2:10.94,,Romania U18,,ROU,1h1,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,female,u18
176,2:10.97,,Slovenia U18,,SLO,5f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,female,u18
177,2:11.02,,Portugal U18,,POR,1h1,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,medley-relay,relays,female,u18
178,2:11.04,,Ukraine U18,,UKR,5,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,medley-relay,relays,female,u18
178,2:11.04,,Poland U18,,POL,1h1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
180,2:11.05,,Jamaica U18,,JAM,1h4,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,female,u18
181,2:11.07,,Belarus U18,,BLR,1h3,"New District Stadium, Tbilisi (GEO)",16 JUL 2016,,medley-relay,relays,female,u18
182,2:11.10,,Bahamas U18,,BAH,4h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
183,2:11.11,,Japan U18,,JPN,3h3,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
184,2:11.13,,Ukraine U18,,UKR,3f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,female,u18
184,2:11.13,,Ukraine U18,,UKR,4,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,female,u18
186,2:11.20,,Brazil U18,,BRA,4h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
186,2:11.20,,Italy U18,,ITA,2h1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
188,2:11.21,,Poland U18,,POL,3h1,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
188,2:11.21,,Norway U18,,NOR,5,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
188,2:11.21,,India U18,,IND,1,Tashkent (UZB),30 APR 2023,,medley-relay,relays,female,u18
191,2:11.22,,Poland U18,,POL,1h2,"New District Stadium, Tbilisi (GEO)",16 JUL 2016,,medley-relay,relays,female,u18
191,2:11.22,,Switzerland U18,,SUI,2h3,"New District Stadium, Tbilisi (GEO)",16 JUL 2016,,medley-relay,relays,female,u18
191,2:11.22,,Spain U18,,ESP,2h1,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
191,2:11.22,,Estonia U18,,EST,4h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
195,2:11.24,,Slovenia U18,,SLO,3,Brno (CZE),11 JUN 2016,,medley-relay,relays,female,u18
195,2:11.24,,Ireland U18,,IRL,5h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
197,2:11.25,,Italy U18,,ITA,2h2,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
198,2:11.26,,Kazakhstan U18,,KAZ,4h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
198,2:11.26,,Ukraine U18,,UKR,6,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
200,2:11.27,,Italy U18,,ITA,1,"Štadión SNP, Banská Bystrica (SVK)",30 JUL 2022,,medley-relay,relays,female,u18
201,2:11.28,,Czechia U18,,CZE,3h1,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
202,2:11.29,,Romania U18,,ROU,3h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
203,2:11.30,,Poland U18,,POL,2,"Štadión SNP, Banská Bystrica (SVK)",30 JUL 2022,,medley-relay,relays,female,u18
204,2:11.34,,Japan U18,,JPN,5f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,female,u18
205,2:11.36,,Slovenia U18,,SLO,3h1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
206,2:11.37,,Barbados U18,,BAR,6f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,female,u18
207,2:11.40,,Finland U18,,FIN,3h2,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
208,2:11.41,,Belarus U18,,BLR,5,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,female,u18
208,2:11.41,,Czech Republic U18,,CZE,1,Trnava (SVK),13 JUL 2019,,medley-relay,relays,female,u18
210,2:11.43,,Finland U18,,FIN,6f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,female,u18
210,2:11.43,,Croatia U18,,CRO,4h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
212,2:11.50,,Canada U18,,CAN,6,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,female,u18
