rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
99,1:53.84,,Turkey U18,,TUR,2,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,male,u18,medley-relay,track,113.84,HUN,,2018
99,1:53.84,,Greece U18,,GRE,4,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,male,u18,medley-relay,track,113.84,MKD,,2025
101,1:53.89,,Brazil U18,,BRA,2h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.89,CZE,,2007
101,1:53.89,,Jamaica U18,,JAM,1h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,113.89,ITA,,2009
103,1:53.91,,South Africa U18,,RSA,2h4,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.91,CZE,,2007
103,1:53.91,,Italy U18,,ITA,1h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,male,u18,medley-relay,track,113.91,SVK,,2024
105,1:53.97,,New Zealand U18,,NZL,2h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,113.97,ITA,,2009
105,1:53.97,,Poland U18,,POL,3,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,male,u18,medley-relay,track,113.97,HUN,,2018
107,1:53.99,,Japan U18,,JPN,2h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.99000000000001,HUN,,2001
108,1:54.01,,Hungary U18,,HUN,3h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,114.00999999999999,UKR,,2013
109,1:54.02,,Chinese Taipei U18,,TPE,3h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.02000000000001,MAR,,2005
110,1:54.03,,Sweden,,SWE,2,Baku (AZE),2019-07-27,,medley-relay,relays,male,u18,medley-relay,track,114.03,AZE,,2019
111,1:54.09,,Trinidad and Tobago U18,,TTO,1h2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,114.09,ITA,,2009
111,1:54.09,,Italy U18,,ITA,5,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,male,u18,medley-relay,track,114.09,MKD,,2025
113,1:54.10,,Japan U18,,JPN,3f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,male,u18,medley-relay,track,114.1,POL,,1999
113,1:54.10,,Venezuela U18,,VEN,2h4,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,114.1,HUN,,2001
115,1:54.12,,Great Britain & NI U18,,GBR,1h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,male,u18,medley-relay,track,114.12,SVK,,2024
116,1:54.14,,Asia U18,,INT,5,Singapore (SGP),2010-08-23,,medley-relay,relays,male,u18,medley-relay,track,114.14,SGP,,2010
117,1:54.18,,Ukraine U18,,UKR,4,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,male,u18,medley-relay,track,114.18,GEO,,2016
117,1:54.18,,Poland U18,,POL,6,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,male,u18,medley-relay,track,114.18,MKD,,2025
119,1:54.19,,Denmark U18,,DEN,1h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,male,u18,medley-relay,track,114.19,ISR,,2022
120,1:54.20,,Chinese Taipei U18,,TPE,4,Tashkent (UZB),2023-04-30,,medley-relay,relays,male,u18,medley-relay,track,114.2,UZB,,2023
121,1:54.23,,Brazil U18,,BRA,1h4,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,114.22999999999999,ITA,,2009
121,1:54.23,,Germany U18,,GER,1h2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,114.22999999999999,MKD,,2025
123,1:54.26,,Czech Republic U18,,CZE,4f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,male,u18,medley-relay,track,114.25999999999999,POL,,1999
123,1:54.26,,Puerto Rico U18,,PUR,5f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,male,u18,medley-relay,track,114.25999999999999,MAR,,2005
125,1:54.29,,Poland U18,,POL,4h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,114.28999999999999,UKR,,2013
126,1:54.32,,Bahrain U18,,BRN,2h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,114.32,UKR,,2013
127,1:54.34,,Italy U18,,ITA,3h3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,114.34,MKD,,2025
128,1:54.35,,Hungary U18,,HUN,5f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,male,u18,medley-relay,track,114.35,POL,,1999
128,1:54.35,,Spain U18,,ESP,2h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,male,u18,medley-relay,track,114.35,SVK,,2024
128,1:54.35,,Poland U18,,POL,1h1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,114.35,MKD,,2025
131,1:54.38,,Hungary U18,,HUN,8,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,114.38,UKR,,2013
132,1:54.40,,Italy U18,,ITA,1h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,male,u18,medley-relay,track,114.4,SLO,,2023
133,1:54.41,,South Africa U18,,RSA,2h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.41,MAR,,2005
133,1:54.41,,Germany U18,,GER,2h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,male,u18,medley-relay,track,114.41,SVK,,2024
135,1:54.45,,Poland U18,,POL,1h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,male,u18,medley-relay,track,114.45,CAN,,2003
135,1:54.45,,Poland U18,,POL,3h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,114.45,CZE,,2007
135,1:54.45,,Greece U18,,GRE,2h1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,114.45,MKD,,2025
138,1:54.47,,Jamaica U18,,JAM,3h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.47,MAR,,2005
138,1:54.47,,Romania U18,,ROU,2h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,male,u18,medley-relay,track,114.47,SLO,,2023
140,1:54.49,,Australia U18,,AUS,3h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,114.49000000000001,ITA,,2009
140,1:54.49,,Portugal U18,,POR,3h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,male,u18,medley-relay,track,114.49000000000001,SLO,,2023
140,1:54.49,,Slovenia U18,,SLO,2h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,male,u18,medley-relay,track,114.49000000000001,SLO,,2023
143,1:54.52,,Japan U18,,JPN,4h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,114.52000000000001,MAR,,2005
144,1:54.55,,United States U18,,USA,1h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,male,u18,medley-relay,track,114.55,POL,,1999
145,1:54.56,,Greece U18,,GRE,3h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,114.56,HUN,,2001
