rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
76,41.85,,German Democratic Republic,,GDR,1,Zürich (SUI),1984-08-22,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,SUI,,1984
76,41.85,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",2017-08-24,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,SUI,,2017
76,41.85,,Great Britain & NI,,GBR,2,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,QAT,,2019
76,41.85,,United States,,USA,1f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,BAH,,2024
76,41.85,,Great Britain & NI,,GBR,2,"Stade de France, Paris (FRA)",2024-08-09,1228,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.85,FRA,,2024
82,41.86,,Great Britain & NI,,GBR,2,"Letzigrund, Zürich (SUI)",2017-08-24,1227,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.86,SUI,,2017
82,41.86,,Germany,,GER,2h2,"National Stadium, Tokyo (JPN)",2025-09-20,1227,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.86,JPN,,2025
84,41.87,,German Democratic Republic,,GDR,1,Gateshead (GBR),1989-08-05,1227,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.87,GBR,,1989
84,41.87,,Jamaica,,JAM,1h1,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1227,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.87,RUS,,2013
84,41.87,,Germany,,GER,3,"National Stadium, Tokyo (JPN)",2025-09-21,1227,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.87,JPN,,2025
87,41.88,,Jamaica,,JAM,1h1,"Olympiastadion, Berlin (GER)",2009-08-22,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.88,GER,,2009
87,41.88,,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",2014-05-24,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.88,BAH,,2014
87,41.88,,Great Britain & NI,,GBR,1,"Olympiastadion, Berlin (GER)",2018-08-12,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.88,GER,,2018
87,41.88,,Great Britain & NI,,GBR,3,"National Stadium, Tokyo (JPN)",2021-08-06,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.88,JPN,,2021
87,41.88,,Great Britain & NI,,GBR,3h2,"National Stadium, Tokyo (JPN)",2025-09-20,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.88,JPN,,2025
92,41.89,,Texas,,INT,1,"John Jacobs Track Complex, Norman, OK (USA)",2023-05-14,1226,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.89,USA,,2023
93,41.9,,United States,,USA,2h1,"National Stadium, Tokyo (JPN)",2021-08-05,1225,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.9,JPN,,2021
93,41.9,,Côte d’Ivoire,,CIV,2h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1225,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.9,HUN,,2023
95,41.91,,Germany,,GER,1h2,"National Stadium, Tokyo (JPN)",1991-08-31,1225,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.91,JPN,,1991
95,41.91,,Americas,,INT,1,"CM, Madrid (ESP)",2002-09-20,1225,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.91,ESP,,2002
95,41.91,,Great Britain & NI,,GBR,1,"Stadio Olimpico, Roma (ITA)",2024-06-12,1225,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.91,ITA,,2024
98,41.92,,Bahamas,,BAH,1,"La Cartuja, Sevilla (ESP)",1999-08-29,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.92,ESP,,1999
99,41.93,,Great Britain & NI,,GBR,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.93,BRA,,2016
99,41.93,,Great Britain & NI,,GBR,2h1,"Olympic Stadium, London (GBR)",2017-08-12,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.93,GBR,,2017
101,41.94,,German Democratic Republic,,GDR,1,Cottbus (GER),1980-07-17,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,GER,,1980
101,41.94,,German Democratic Republic,,GDR,1,Praha (TCH),1987-06-27,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,TCH,,1987
101,41.94,,Jamaica,,JAM,1,"National Stadium, Tokyo (JPN)",1991-09-01,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,JPN,,1991
101,41.94,,Jamaica,,JAM,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,GER,,1993
101,41.94,,United States,,USA,1h3,"DS, Daegu (KOR)",2011-09-04,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,KOR,,2011
101,41.94,,USA Red,,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",2024-04-13,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,USA,,2024
101,41.94,,United States,,USA,1h1,"Stade de France, Paris (FRA)",2024-08-08,1224,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.94,FRA,,2024
108,41.95,,German Democratic Republic,,GDR,2,"Stadio Olimpico, Roma (ITA)",1987-09-06,1223,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.95,ITA,,1987
108,41.95,,United States,,USA,1,"Olympic Stadium, Atlanta, GA (USA)",1996-08-03,1223,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.95,USA,,1996
108,41.95,,Bahamas,,BAH,1,"Olympic Stadium, Sydney (AUS)",2000-09-30,1223,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.95,AUS,,2000
111,41.96,,United States,,USA,1h2,"Stadio Olimpico, Roma (ITA)",1987-09-05,1223,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.96,ITA,,1987
111,41.96,,United States,,USA,1,"Stade Louis II, Monaco (MON)",2015-07-17,1223,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.96,MON,,2015
113,41.97,,German Democratic Republic,,GDR,1,Potsdam (GDR),1982-08-28,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.97,GDR,,1982
113,41.97,,German Democratic Republic,,GDR,1,Leipzig (GER),1983-07-27,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.97,GER,,1983
113,41.97,,Great Britain & NI,,GBR,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.97,HUN,,2023
113,41.97,,Germany,,GER,3,"Stade de France, Paris (FRA)",2024-08-09,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.97,FRA,,2024
117,41.98,,German Democratic Republic,,GDR,1,Dresden (GER),1986-08-17,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.98,GER,,1986
117,41.98,,United States,,USA,1,"Olympic Stadium, Seoul (KOR)",1988-10-01,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.98,KOR,,1988
117,41.98,,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1222,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.98,JPN,,2007
120,41.99,,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),1982-07-09,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.99,GDR,,1982
120,41.99,,Jamaica,,JAM,2,"Olympiastadion, Helsinki (FIN)",2005-08-13,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.99,FIN,,2005
120,41.99,,Great Britain & NI,,GBR,1h1,"Hayward Field, Eugene, OR (USA)",2022-07-22,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.99,USA,,2022
120,41.99,,USA White,,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",2024-04-13,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.99,USA,,2024
124,42.0,,Soviet Union,,URS,2,Moskva (URS),1985-08-17,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,URS,,1985
124,42.0,,United States,,USA,1,"SGJ, Johannesburg (RSA)",1998-09-13,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,RSA,,1998
124,42.0,,United States,,USA,1h2,"National Stadium, Beijing (CHN)",2015-08-29,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,CHN,,2015
124,42.0,,Germany,,GER,1f1,Regensburg (GER),2016-06-05,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,GER,,2016
124,42.0,,Germany,,GER,1h2,"National Stadium, Tokyo (JPN)",2021-08-05,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,JPN,,2021
124,42.0,,Texas,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.0,USA,,2023
130,42.01,,Empire Athletics,,USA,1,"Percy Beard Track, Gainesville, FL (USA)",2023-04-01,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.01,USA,,2023
130,42.01,,Soviet Union,,URS,1sf1,"Olympic Stadium, Seoul (KOR)",1988-10-01,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.01,KOR,,1988
130,42.01,,Jamaica,,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1221,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.01,JPN,,2007
133,42.02,,Netherlands,,NED,1f2,"Estadio Vallehermoso, Madrid (ESP)",2025-06-28,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.02,ESP,,2025
134,42.03,,Germany,,GER,3,"Hayward Field, Eugene, OR (USA)",2022-07-23,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,USA,,2022
134,42.03,,United States,,USA,1h1,"Stade de France, Paris-St-Denis (FRA)",2003-08-29,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,FRA,,2003
134,42.03,,Trinidad and Tobago,,TTO,3,"National Stadium, Beijing (CHN)",2015-08-29,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,CHN,,2015
134,42.03,,Great Britain & NI,,GBR,1h2,"Stade de France, Paris (FRA)",2024-08-08,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,FRA,,2024
134,42.03,,Great Britain & NI,,GBR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",2024-08-22,1220,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,42.03,SUI,,2024
